publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2019p514304,earthquake,2019-07-10T07:01:18.659Z,2019-07-10T07:03:06.051Z,174.2138214,-41.59427643,2.419732193,10.58816051,M,,LOCSAT,confirmed,manual,iasp91,21,12,7,0.129155487,102.5673904,0.492445589,0
2019p514288,earthquake,2019-07-10T06:52:59.147Z,2019-07-10T06:56:25.478Z,174.0730438,-41.76721573,1.630149259,13.51202488,M,,LOCSAT,confirmed,manual,iasp91,17,11,6,0.077503219,78.08816528,0.343468147,0
2019p514272,earthquake,2019-07-10T06:44:32.040Z,2019-07-10T06:46:28.745Z,174.5478973,-40.96447754,1.539649527,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,16,10,6,0.293106079,140.7416763,0.486515372,0
2019p514236,earthquake,2019-07-10T06:24:58.454Z,2019-07-10T06:29:45.707Z,174.9981689,-40.95358658,1.990788287,32.50409317,M,,LOCSAT,confirmed,manual,iasp91,26,17,10,0.114330299,79.64016724,0.492428652,0
2019p514233,earthquake,2019-07-10T06:23:50.330Z,2019-07-10T06:26:35.174Z,174.9845886,-40.11665344,1.757464561,18.05311584,M,,LOCSAT,confirmed,manual,iasp91,18,10,7,0.361572594,175.7481212,0.41728105,0
2019p514139,earthquake,2019-07-10T05:33:28.238Z,2019-07-10T05:38:02.365Z,174.9612732,-40.12523651,1.977578139,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,21,14,7,0.370614678,133.6563237,0.658061417,0
2019p514059,earthquake,2019-07-10T04:50:46.590Z,2019-07-10T04:53:20.330Z,175.910614,-40.35100555,1.479198251,14.47211266,M,,LOCSAT,confirmed,manual,iasp91,19,11,7,0.116307415,60.20848083,0.464227774,0
2019p513742,earthquake,2019-07-10T02:02:10.363Z,2019-08-06T05:11:35.931Z,174.4701538,-41.59375763,3.137500704,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,30,24,14,0.246871918,130.0943604,1.943793362,0
2019p513370,earthquake,2019-07-09T22:43:54.406Z,2019-07-09T22:48:06.955Z,175.3361816,-41.21308899,1.808608599,20.23876953,M,,LOCSAT,confirmed,manual,iasp91,18,12,10,0.136456415,58.77374268,0.165503089,0
2019p513121,earthquake,2019-07-09T20:31:01.181Z,2019-07-09T20:34:19.770Z,174.2723541,-40.4221077,2.220871741,66.58859253,M,,LOCSAT,confirmed,manual,iasp91,24,19,7,0.463771701,97.3837738,0.536296574,0
2019p513012,earthquake,2019-07-09T19:32:54.522Z,2019-07-09T19:36:09.320Z,175.5366364,-41.16010666,1.88089499,16.73598289,M,,LOCSAT,confirmed,manual,iasp91,28,20,12,0.026565943,75.62348938,0.406700444,0
2019p512190,earthquake,2019-07-09T12:15:15.450Z,2019-07-09T12:20:22.836Z,173.9910431,-41.84802246,1.456815193,11.77678871,M,,LOCSAT,confirmed,manual,iasp91,16,11,4,0.107825421,104.3677139,0.345453961,0
2019p512176,earthquake,2019-07-09T12:07:36.399Z,2019-07-09T12:10:34.068Z,176.5382996,-40.22660065,1.28372601,14.98662949,M,,LOCSAT,confirmed,manual,iasp91,17,12,5,0.084120885,66.35269165,0.261022269,0
2019p512057,earthquake,2019-07-09T11:04:14.609Z,2019-07-09T11:09:53.141Z,175.2304993,-40.92629623,1.419692448,18.12837029,M,,LOCSAT,confirmed,manual,iasp91,27,17,7,0.118634045,67.62831497,0.415808075,0
